x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
215,117,11:44:55:336,Square,0,0,1440,900
596,139,11:44:55:497,Square,2719,362,1440,900
704,149,11:44:55:647,Square,213,-85,1440,900
724,148,11:44:55:799,Square,127,76,1440,900
END_OF_STROKE,0,0,11:44:55:891,END_OF_STROKE,0,0,0
245,115,11:44:56:574,Square,-851,-72,1440,900
780,204,11:44:56:730,Square,1678,1206,1440,900
806,226,11:44:56:897,Square,-201,-80,1440,900
667,178,11:44:57:047,Square,-1275,-322,1440,900
382,170,11:44:57:214,Square,-2081,-322,1440,900
329,148,11:44:57:379,Square,0,0,1440,900
313,141,11:44:57:529,Square,-426,-170,1440,900
248,123,11:44:57:679,Square,-284,-170,1440,900
END_OF_STROKE,0,0,11:44:57:766,END_OF_STROKE,0,0,0
160,365,11:44:58:829,Hexagon,-93,315,1440,900
372,281,11:44:58:994,Hexagon,7854,-3257,1440,900
873,224,11:44:59:145,Hexagon,0,85,1440,900
820,230,11:44:59:312,Hexagon,-134,0,1440,900
END_OF_STROKE,0,0,11:44:59:352,END_OF_STROKE,0,0,0
182,206,11:45:00:065,Trapezoid,-1070,-41,1440,900
264,206,11:45:00:228,Trapezoid,3096,0,1440,900
827,347,11:45:00:394,Trapezoid,569,681,1440,900
841,362,11:45:00:631,Trapezoid,0,0,1440,900
737,341,11:45:00:795,Trapezoid,-302,0,1440,900
END_OF_STROKE,0,0,11:45:00:924,END_OF_STROKE,0,0,0
176,192,11:45:01:514,Trapezoid,-1149,-361,1440,900
208,200,11:45:01:678,Trapezoid,1919,681,1440,900
648,389,11:45:01:828,Trapezoid,1706,1277,1440,900
699,416,11:45:01:978,Trapezoid,71,0,1440,900
703,415,11:45:02:128,Trapezoid,67,-80,1440,900
707,412,11:45:02:294,Trapezoid,0,0,1440,900
END_OF_STROKE,0,0,11:45:02:361,END_OF_STROKE,0,0,0
221,291,11:45:03:378,Equilateral Triangle,-577,-169,1440,900
265,291,11:45:03:541,Equilateral Triangle,1706,0,1440,900
789,509,11:45:03:692,Equilateral Triangle,569,426,1440,900
792,512,11:45:03:892,Equilateral Triangle,0,9,1440,900
END_OF_STROKE,0,0,11:45:04:000,END_OF_STROKE,0,0,0
163,475,11:45:05:087,Yellow Diamond,-686,-35,1440,900
512,245,11:45:05:239,Yellow Diamond,3061,-1641,1440,900
566,234,11:45:05:391,Yellow Diamond,0,0,1440,900
592,208,11:45:05:542,Yellow Diamond,0,0,1440,900
END_OF_STROKE,0,0,11:45:05:547,END_OF_STROKE,0,0,0
195,477,11:45:06:226,Yellow Diamond,-707,575,1440,900
222,462,11:45:06:390,Yellow Diamond,1289,-869,1440,900
631,277,11:45:06:558,Yellow Diamond,738,-402,1440,900
641,268,11:45:06:709,Yellow Diamond,0,0,1440,900
END_OF_STROKE,0,0,11:45:06:749,END_OF_STROKE,0,0,0
201,465,11:45:07:511,Yellow Diamond,-697,378,1440,900
599,321,11:45:07:674,Yellow Diamond,3247,-1267,1440,900
813,257,11:45:07:824,Yellow Diamond,564,-193,1440,900
826,253,11:45:07:989,Yellow Diamond,76,-90,1440,900
861,225,11:45:08:155,Yellow Diamond,213,-170,1440,900
867,217,11:45:08:321,Yellow Diamond,71,-85,1440,900
END_OF_STROKE,0,0,11:45:08:334,END_OF_STROKE,0,0,0
196,479,11:45:09:288,Yellow Diamond,-852,399,1440,900
761,355,11:45:09:438,Yellow Diamond,4833,-724,1440,900
873,345,11:45:09:588,Yellow Diamond,0,0,1440,900
889,338,11:45:09:755,Yellow Diamond,269,-241,1440,900
