x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
240,94,14:40:54:143,Square,0,0,1440,900
711,103,14:40:54:310,Square,1031,255,1440,900
722,110,14:40:54:476,Square,0,0,1440,900
733,146,14:40:54:643,Square,110,569,1440,900
END_OF_STROKE,0,0,14:40:54:665,END_OF_STROKE,0,0,0
183,388,14:41:10:433,Hexagon,-42,22,1440,900
466,330,14:41:10:599,Hexagon,6539,-1231,1440,900
855,311,14:41:10:764,Hexagon,-76,0,1440,900
801,299,14:41:10:930,Hexagon,-1133,-361,1440,900
739,266,14:41:11:097,Hexagon,-151,-90,1440,900
END_OF_STROKE,0,0,14:41:11:211,END_OF_STROKE,0,0,0
164,190,14:41:12:165,Trapezoid,-727,-107,1440,900
726,320,14:41:12:328,Trapezoid,926,578,1440,900
729,326,14:41:12:496,Trapezoid,0,44,1440,900
END_OF_STROKE,0,0,14:41:12:575,END_OF_STROKE,0,0,0
180,178,14:41:13:131,Trapezoid,-1180,-373,1440,900
781,432,14:41:13:300,Trapezoid,732,919,1440,900
785,437,14:41:13:463,Trapezoid,0,0,1440,900
END_OF_STROKE,0,0,14:41:13:578,END_OF_STROKE,0,0,0
223,281,14:41:14:328,Equilateral Triangle,-901,-294,1440,900
442,345,14:41:14:496,Equilateral Triangle,5286,2211,1440,900
703,495,14:41:14:664,Equilateral Triangle,207,124,1440,900
753,499,14:41:14:829,Equilateral Triangle,806,88,1440,900
757,491,14:41:14:998,Equilateral Triangle,-256,-263,1440,900
END_OF_STROKE,0,0,14:41:15:007,END_OF_STROKE,0,0,0
160,480,14:41:15:894,Yellow Diamond,-803,-11,1440,900
383,338,14:41:16:062,Yellow Diamond,4210,-2236,1440,900
481,320,14:41:16:229,Yellow Diamond,552,-41,1440,900
588,289,14:41:16:395,Yellow Diamond,37,-88,1440,900
END_OF_STROKE,0,0,14:41:16:452,END_OF_STROKE,0,0,0
173,466,14:41:16:960,Yellow Diamond,-904,499,1440,900
208,452,14:41:17:128,Yellow Diamond,1318,-613,1440,900
541,332,14:41:17:292,Yellow Diamond,0,-90,1440,900
550,291,14:41:17:460,Yellow Diamond,38,-90,1440,900
553,287,14:41:17:626,Yellow Diamond,117,-140,1440,900
END_OF_STROKE,0,0,14:41:17:635,END_OF_STROKE,0,0,0
174,480,14:41:18:026,Yellow Diamond,-1145,697,1440,900
178,476,14:41:18:199,Yellow Diamond,28,-33,1440,900
564,243,14:41:18:359,Yellow Diamond,604,-425,1440,900
565,241,14:41:18:530,Yellow Diamond,0,-39,1440,900
526,230,14:41:18:692,Yellow Diamond,-1282,350,1440,900
END_OF_STROKE,0,0,14:41:18:737,END_OF_STROKE,0,0,0
143,465,14:41:19:391,Yellow Diamond,-571,414,1440,900
144,465,14:41:19:561,Yellow Diamond,7,0,1440,900
395,448,14:41:19:724,Yellow Diamond,1083,-548,1440,900
524,196,14:41:19:891,Yellow Diamond,696,-1575,1440,900
547,168,14:41:20:196,Yellow Diamond,0,0,1440,900
END_OF_STROKE,0,0,14:41:20:224,END_OF_STROKE,0,0,0
196,463,14:41:20:928,Yellow Diamond,-601,603,1440,900
240,462,14:41:21:091,Yellow Diamond,1564,-42,1440,900
766,380,14:41:21:259,Yellow Diamond,1318,-569,1440,900
911,239,14:41:21:424,Yellow Diamond,1173,-1231,1440,900
998,186,14:41:21:591,Yellow Diamond,37,0,1440,900
936,179,14:41:21:760,Yellow Diamond,-1376,-201,1440,900
END_OF_STROKE,0,0,14:41:21:869,END_OF_STROKE,0,0,0
180,470,14:41:22:489,Yellow Diamond,-1397,687,1440,900
555,309,14:41:22:658,Yellow Diamond,9818,-4692,1440,900
857,200,14:41:22:825,Yellow Diamond,207,-330,1440,900
