x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
249,62,21:32:34:737,Square,0,0,1536,960
398,113,21:32:34:904,Square,1660,628,1536,960
673,199,21:32:35:054,Square,1718,441,1536,960
832,295,21:32:35:221,Square,692,446,1536,960
916,374,21:32:35:387,Square,70,0,1536,960
END_OF_STROKE,0,0,21:32:35:498,END_OF_STROKE,0,0,0
328,53,21:32:35:988,Square,-1007,-551,1536,960
684,285,21:32:36:152,Square,1514,1318,1536,960
808,422,21:32:36:303,Square,224,177,1536,960
849,439,21:32:36:453,Square,563,249,1536,960
END_OF_STROKE,0,0,21:32:36:666,END_OF_STROKE,0,0,0
239,56,21:32:37:259,Square,-1003,-605,1536,960
522,203,21:32:37:421,Square,2250,1329,1536,960
720,364,21:32:37:570,Square,1266,997,1536,960
844,436,21:32:37:720,Square,352,249,1536,960
888,453,21:32:37:870,Square,211,83,1536,960
891,455,21:32:38:121,Square,0,0,1536,960
END_OF_STROKE,0,0,21:32:38:142,END_OF_STROKE,0,0,0
114,234,21:32:38:912,Circle,-1006,-286,1536,960
545,431,21:32:39:069,Circle,1419,530,1536,960
692,522,21:32:39:219,Circle,1121,265,1536,960
828,565,21:32:39:370,Circle,563,166,1536,960
865,572,21:32:39:554,Circle,14,0,1536,960
END_OF_STROKE,0,0,21:32:39:618,END_OF_STROKE,0,0,0
117,217,21:32:40:352,Circle,-978,-463,1536,960
662,401,21:32:40:502,Circle,2689,795,1536,960
879,504,21:32:40:653,Circle,1195,353,1536,960
945,529,21:32:40:818,Circle,672,265,1536,960
1014,553,21:32:41:086,Circle,9,0,1536,960
END_OF_STROKE,0,0,21:32:41:126,END_OF_STROKE,0,0,0
127,596,21:32:42:209,Right Triangle,-790,38,1536,960
372,614,21:32:42:368,Right Triangle,3138,0,1536,960
610,604,21:32:42:518,Right Triangle,896,-265,1536,960
END_OF_STROKE,0,0,21:32:42:648,END_OF_STROKE,0,0,0
92,610,21:32:43:345,Right Triangle,-767,32,1536,960
467,565,21:32:43:502,Right Triangle,3138,0,1536,960
631,565,21:32:43:653,Right Triangle,844,0,1536,960
753,522,21:32:43:819,Right Triangle,398,-314,1536,960
779,514,21:32:43:969,Right Triangle,35,0,1536,960
782,511,21:32:44:176,Right Triangle,10,-11,1536,960
765,500,21:32:44:336,Right Triangle,-141,-83,1536,960
741,497,21:32:44:487,Right Triangle,-33,0,1536,960
END_OF_STROKE,0,0,21:32:44:883,END_OF_STROKE,0,0,0
105,613,21:32:45:485,Right Triangle,-680,124,1536,960
711,568,21:32:45:635,Right Triangle,4707,-353,1536,960
895,512,21:32:45:785,Right Triangle,70,-83,1536,960
991,480,21:32:45:935,Right Triangle,1195,-332,1536,960
