x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
292,86,19:17:59:393,Square,0,0,1536,960
492,56,19:17:59:556,Square,1793,266,1536,960
694,129,19:17:59:706,Square,352,333,1536,960
733,231,19:17:59:857,Square,352,583,1536,960
810,289,19:18:00:007,Square,930,315,1536,960
987,344,19:18:00:173,Square,422,167,1536,960
END_OF_STROKE,0,0,19:18:00:316,END_OF_STROKE,0,0,0
314,49,19:18:00:872,Square,-1050,-458,1536,960
539,66,19:18:01:024,Square,3151,1030,1536,960
732,228,19:18:01:189,Square,374,708,1536,960
769,328,19:18:01:339,Square,374,708,1536,960
851,413,19:18:01:489,Square,558,378,1536,960
879,446,19:18:01:705,Square,0,14,1536,960
END_OF_STROKE,0,0,19:18:01:729,END_OF_STROKE,0,0,0
302,85,19:18:02:155,Square,-1322,-828,1536,960
482,62,19:18:02:310,Square,1793,531,1536,960
767,212,19:18:02:477,Square,930,787,1536,960
960,402,19:18:02:639,Square,398,661,1536,960
1047,486,19:18:02:790,Square,352,250,1536,960
END_OF_STROKE,0,0,19:18:02:912,END_OF_STROKE,0,0,0
129,222,19:18:03:538,Circle,-1445,-423,1536,960
454,222,19:18:03:691,Circle,2241,266,1536,960
632,331,19:18:03:841,Circle,1195,1333,1536,960
813,488,19:18:04:006,Circle,984,750,1536,960
899,552,19:18:04:156,Circle,352,250,1536,960
END_OF_STROKE,0,0,19:18:04:250,END_OF_STROKE,0,0,0
114,232,19:18:04:738,Circle,-1435,-588,1536,960
502,224,19:18:04:894,Circle,2922,866,1536,960
859,395,19:18:05:055,Circle,822,1240,1536,960
972,539,19:18:05:205,Circle,747,797,1536,960
1029,586,19:18:05:355,Circle,0,-44,1536,960
END_OF_STROKE,0,0,19:18:05:378,END_OF_STROKE,0,0,0
102,598,19:18:05:999,Right Triangle,-1482,30,1536,960
430,488,19:18:06:155,Right Triangle,2391,-885,1536,960
729,442,19:18:06:305,Right Triangle,1121,443,1536,960
868,484,19:18:06:456,Right Triangle,141,83,1536,960
END_OF_STROKE,0,0,19:18:06:564,END_OF_STROKE,0,0,0
81,606,19:18:07:438,Right Triangle,-900,131,1536,960
331,484,19:18:07:593,Right Triangle,2948,-1889,1536,960
715,352,19:18:07:758,Right Triangle,1868,177,1536,960
908,413,19:18:07:909,Right Triangle,1046,708,1536,960
