x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
288,75,09:09:28:714,Square,0,0,1536,960
827,206,09:09:28:865,Square,352,417,1536,960
961,332,09:09:29:016,Square,844,751,1536,960
995,363,09:09:29:248,Square,-21,0,1536,960
END_OF_STROKE,0,0,09:09:29:273,END_OF_STROKE,0,0,0
288,91,09:09:29:915,Square,-1061,-420,1536,960
434,119,09:09:30:065,Square,1569,976,1536,960
655,336,09:09:30:215,Square,2764,2839,1536,960
913,467,09:09:30:366,Square,75,0,1536,960
END_OF_STROKE,0,0,09:09:30:504,END_OF_STROKE,0,0,0
251,58,09:09:31:082,Square,-1129,-697,1536,960
299,59,09:09:31:233,Square,377,75,1536,960
507,142,09:09:31:398,Square,3234,1002,1536,960
852,338,09:09:31:565,Square,398,946,1536,960
880,416,09:09:31:716,Square,70,167,1536,960
894,431,09:09:31:881,Square,0,0,1536,960
901,451,09:09:32:033,Square,0,79,1536,960
END_OF_STROKE,0,0,09:09:32:111,END_OF_STROKE,0,0,0
110,244,09:09:32:747,Circle,-1242,-334,1536,960
655,465,09:09:32:897,Circle,747,1065,1536,960
771,602,09:09:33:048,Circle,773,334,1536,960
842,613,09:09:33:198,Circle,299,0,1536,960
END_OF_STROKE,0,0,09:09:33:370,END_OF_STROKE,0,0,0
115,251,09:09:33:998,Circle,-1107,-541,1536,960
918,575,09:09:34:148,Circle,2540,1153,1536,960
1030,657,09:09:34:298,Circle,448,177,1536,960
1034,654,09:09:34:448,Circle,-422,-83,1536,960
END_OF_STROKE,0,0,09:09:34:471,END_OF_STROKE,0,0,0
111,610,09:09:35:081,Right Triangle,-1461,-63,1536,960
514,516,09:09:35:247,Right Triangle,2039,0,1536,960
684,515,09:09:35:398,Right Triangle,863,-79,1536,960
757,491,09:09:35:548,Right Triangle,70,0,1536,960
770,492,09:09:35:708,Right Triangle,0,23,1536,960
END_OF_STROKE,0,0,09:09:35:708,END_OF_STROKE,0,0,0
109,599,09:09:48:098,Right Triangle,-53,9,1536,960
433,505,09:09:48:262,Right Triangle,2988,-887,1536,960
769,407,09:09:48:414,Right Triangle,1758,-167,1536,960
996,397,09:09:48:580,Right Triangle,914,0,1536,960
