x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
1209,106,09:10:24:451,Square,0,0,1366,768
END_OF_STROKE,0,0,09:10:24:536,END_OF_STROKE,0,0,0
1055,107,09:10:25:845,Square,13,-9,1366,768
950,212,09:10:26:024,Square,-457,389,1366,768
899,260,09:10:26:197,Square,-610,389,1366,768
END_OF_STROKE,0,0,09:10:26:263,END_OF_STROKE,0,0,0
246,70,09:10:27:149,Square,-710,-218,1366,768
490,182,09:10:27:315,Square,3731,1738,1366,768
665,294,09:10:27:479,Square,877,680,1366,768
798,370,09:10:27:630,Square,1707,726,1366,768
824,389,09:10:27:781,Square,0,71,1366,768
END_OF_STROKE,0,0,09:10:27:787,END_OF_STROKE,0,0,0
261,51,09:10:28:667,Square,-635,-380,1366,768
500,92,09:10:28:824,Square,1501,359,1366,768
703,236,09:10:28:987,Square,1275,1414,1366,768
837,373,09:10:29:156,Square,212,135,1366,768
890,414,09:10:29:323,Square,39,100,1366,768
END_OF_STROKE,0,0,09:10:29:385,END_OF_STROKE,0,0,0
265,56,09:10:30:825,Square,-433,-251,1366,768
281,87,09:10:30:992,Square,0,74,1366,768
279,87,09:10:31:164,Square,-9,-12,1366,768
273,78,09:10:31:318,Square,-47,0,1366,768
398,93,09:10:31:470,Square,1291,91,1366,768
END_OF_STROKE,0,0,09:10:31:545,END_OF_STROKE,0,0,0
446,98,09:10:32:198,Square,4,0,1366,768
578,96,09:10:32:352,Square,336,-54,1366,768
END_OF_STROKE,0,0,09:10:32:368,END_OF_STROKE,0,0,0
109,224,09:10:33:611,Circle,-373,101,1366,768
616,384,09:10:33:784,Circle,2195,1089,1366,768
759,488,09:10:33:949,Circle,424,203,1366,768
823,512,09:10:34:115,Circle,68,86,1366,768
END_OF_STROKE,0,0,09:10:34:195,END_OF_STROKE,0,0,0
76,221,09:10:35:255,Circle,-685,-265,1366,768
309,177,09:10:35:405,Circle,4592,-549,1366,768
499,185,09:10:35:568,Circle,610,167,1366,768
745,317,09:10:35:736,Circle,1032,598,1366,768
867,425,09:10:35:890,Circle,772,985,1366,768
907,468,09:10:36:050,Circle,72,91,1366,768
END_OF_STROKE,0,0,09:10:36:311,END_OF_STROKE,0,0,0
90,624,09:10:38:478,Right Triangle,-345,65,1366,768
278,406,09:10:38:646,Right Triangle,1067,-907,1366,768
501,308,09:10:38:813,Right Triangle,915,0,1366,768
583,345,09:10:38:979,Right Triangle,215,274,1366,768
659,418,09:10:39:148,Right Triangle,549,467,1366,768
END_OF_STROKE,0,0,09:10:39:347,END_OF_STROKE,0,0,0
102,605,09:10:40:705,Right Triangle,-405,126,1366,768
611,289,09:10:40:876,Right Triangle,3171,-1680,1366,768
878,250,09:10:41:030,Right Triangle,1578,457,1366,768
1015,286,09:10:41:187,Right Triangle,316,346,1366,768
