x,y,timestamp,shape
164,194,13:37:25:097,Trapezoid
425,219,13:37:25:204,Trapezoid
750,308,13:37:25:305,Trapezoid
776,324,13:37:25:405,Trapezoid
751,330,13:37:25:505,Trapezoid
741,332,13:37:25:605,Trapezoid
722,335,13:37:25:838,Trapezoid
142,494,13:37:27:210,Yellow Diamond
345,380,13:37:27:319,Yellow Diamond
523,290,13:37:27:439,Yellow Diamond
540,272,13:37:27:554,Yellow Diamond
553,256,13:37:27:669,Yellow Diamond
546,242,13:37:27:769,Yellow Diamond
193,476,13:37:28:862,Yellow Diamond
345,299,13:37:28:967,Yellow Diamond
428,212,13:37:29:068,Yellow Diamond
473,195,13:37:29:170,Yellow Diamond
551,204,13:37:29:284,Yellow Diamond
565,214,13:37:29:384,Yellow Diamond
566,214,13:37:29:500,Yellow Diamond
188,488,13:37:31:320,Yellow Diamond
188,488,13:37:31:480,Yellow Diamond
433,476,13:37:31:584,Yellow Diamond
870,455,13:37:31:684,Yellow Diamond
916,440,13:37:31:784,Yellow Diamond
917,425,13:37:31:885,Yellow Diamond
921,395,13:37:32:001,Yellow Diamond
911,298,13:37:32:101,Yellow Diamond
891,233,13:37:32:217,Yellow Diamond
886,226,13:37:32:332,Yellow Diamond
886,226,13:37:32:571,Yellow Diamond
191,483,13:37:33:709,Yellow Diamond
523,260,13:37:33:816,Yellow Diamond
731,194,13:37:33:930,Yellow Diamond
760,204,13:37:34:030,Yellow Diamond
817,222,13:37:34:131,Yellow Diamond
846,227,13:37:34:231,Yellow Diamond
865,227,13:37:34:347,Yellow Diamond
879,225,13:37:34:448,Yellow Diamond
221,292,13:37:35:746,Equilateral Triangle
222,292,13:37:35:881,Equilateral Triangle
446,364,13:37:35:997,Equilateral Triangle
681,466,13:37:36:097,Equilateral Triangle
693,474,13:37:36:197,Equilateral Triangle
745,500,13:37:36:297,Equilateral Triangle
765,511,13:37:36:464,Equilateral Triangle
764,510,13:37:36:564,Equilateral Triangle
174,209,13:37:38:438,Trapezoid
193,210,13:37:38:547,Trapezoid
685,362,13:37:38:661,Trapezoid
810,402,13:37:38:763,Trapezoid
811,404,13:37:38:872,Trapezoid
791,405,13:37:38:977,Trapezoid
757,410,13:37:39:077,Trapezoid
753,411,13:37:39:212,Trapezoid
724,421,13:37:39:330,Trapezoid
158,375,13:37:53:466,Hexagon
254,356,13:37:53:568,Hexagon
493,313,13:37:53:684,Hexagon
554,293,13:37:53:784,Hexagon
604,276,13:37:53:884,Hexagon
632,272,13:37:53:985,Hexagon
683,266,13:37:54:100,Hexagon
703,260,13:37:54:200,Hexagon
705,258,13:37:54:301,Hexagon
707,256,13:37:54:490,Hexagon
126,123,13:38:01:013,Square
131,123,13:38:01:130,Square
374,123,13:38:01:245,Square
622,158,13:38:01:346,Square
681,168,13:38:01:461,Square
711,170,13:38:01:579,Square
721,171,13:38:01:679,Square
721,171,13:38:01:811,Square
186,485,13:43:11:595,Yellow Diamond
245,459,13:43:11:712,Yellow Diamond
368,401,13:43:11:812,Yellow Diamond
463,336,13:43:11:927,Yellow Diamond
531,302,13:43:12:027,Yellow Diamond
546,298,13:43:12:135,Yellow Diamond
480,350,13:43:12:250,Yellow Diamond
454,356,13:43:12:350,Yellow Diamond
463,351,13:43:12:452,Yellow Diamond
530,336,13:43:12:567,Yellow Diamond
531,334,13:43:12:667,Yellow Diamond
531,333,13:43:12:936,Yellow Diamond
531,334,13:43:13:044,Yellow Diamond
531,335,13:43:13:145,Yellow Diamond
531,336,13:43:13:258,Yellow Diamond
531,337,13:43:13:360,Yellow Diamond
531,341,13:43:13:460,Yellow Diamond
530,342,13:43:13:577,Yellow Diamond
496,371,13:43:13:693,Yellow Diamond
402,422,13:43:13:793,Yellow Diamond
315,451,13:43:13:893,Yellow Diamond
262,471,13:43:14:007,Yellow Diamond
256,474,13:43:14:260,Yellow Diamond
256,473,13:43:14:394,Yellow Diamond
256,473,13:43:14:507,Yellow Diamond
255,473,13:43:14:650,Yellow Diamond
221,502,13:43:14:758,Yellow Diamond
213,507,13:43:14:860,Yellow Diamond
213,507,13:43:14:973,Yellow Diamond
