x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
END_OF_STROKE,0,0,14:24:58:511,END_OF_STROKE,0,0,0
173,481,14:25:01:183,Yellow Diamond,0,0,1920,1080
231,478,14:25:01:334,Yellow Diamond,747,-182,1920,1080
375,432,14:25:01:484,Yellow Diamond,919,-447,1920,1080
539,372,14:25:01:635,Yellow Diamond,598,-545,1920,1080
610,309,14:25:01:786,Yellow Diamond,332,-565,1920,1080
614,298,14:25:01:936,Yellow Diamond,0,0,1920,1080
END_OF_STROKE,0,0,14:25:02:030,END_OF_STROKE,0,0,0
175,471,14:25:02:456,Yellow Diamond,-1223,578,1920,1080
366,369,14:25:02:618,Yellow Diamond,2914,-2270,1920,1080
546,242,14:25:02:785,Yellow Diamond,63,-153,1920,1080
590,223,14:25:02:952,Yellow Diamond,531,-565,1920,1080
591,223,14:25:03:152,Yellow Diamond,0,0,1920,1080
END_OF_STROKE,0,0,14:25:03:174,END_OF_STROKE,0,0,0
190,473,14:25:03:630,Yellow Diamond,-1049,795,1920,1080
341,447,14:25:03:783,Yellow Diamond,3094,-1025,1920,1080
768,298,14:25:03:949,Yellow Diamond,1547,-1025,1920,1080
853,259,14:25:04:100,Yellow Diamond,492,85,1920,1080
911,241,14:25:04:266,Yellow Diamond,141,-427,1920,1080
912,219,14:25:04:516,Yellow Diamond,0,0,1920,1080
END_OF_STROKE,0,0,14:25:04:540,END_OF_STROKE,0,0,0
177,475,14:25:05:183,Yellow Diamond,-1350,569,1920,1080
644,399,14:25:05:350,Yellow Diamond,2894,-1070,1920,1080
856,357,14:25:05:516,Yellow Diamond,492,-342,1920,1080
931,296,14:25:05:666,Yellow Diamond,465,-323,1920,1080
931,288,14:25:05:831,Yellow Diamond,-281,85,1920,1080
END_OF_STROKE,0,0,14:25:05:855,END_OF_STROKE,0,0,0
171,382,14:25:18:922,Hexagon,-69,10,1920,1080
541,285,14:25:19:086,Hexagon,3501,-1349,1920,1080
759,218,14:25:19:235,Hexagon,75,0,1920,1080
773,225,14:25:19:385,Hexagon,0,0,1920,1080
774,252,14:25:19:536,Hexagon,0,0,1920,1080
773,253,14:25:19:701,Hexagon,-70,0,1920,1080
END_OF_STROKE,0,0,14:25:19:718,END_OF_STROKE,0,0,0
246,98,14:25:28:295,Square,-73,-26,1920,1080
629,98,14:25:28:461,Square,4250,0,1920,1080
769,102,14:25:28:627,Square,0,85,1920,1080
771,121,14:25:28:794,Square,133,242,1920,1080
784,143,14:25:28:961,Square,0,81,1920,1080
END_OF_STROKE,0,0,14:25:29:013,END_OF_STROKE,0,0,0
102,144,14:25:30:262,Circle,-627,1,1920,1080
415,219,14:25:30:426,Circle,2831,994,1920,1080
429,221,14:25:30:591,Circle,-1617,-598,1920,1080
154,137,14:25:30:758,Circle,-598,-323,1920,1080
143,133,14:25:30:912,Circle,0,11,1920,1080
72,140,14:25:31:167,Circle,0,0,1920,1080
105,147,14:25:31:341,Circle,0,29,1920,1080
END_OF_STROKE,0,0,14:25:31:350,END_OF_STROKE,0,0,0
158,183,14:25:32:407,Trapezoid,59,49,1920,1080
390,218,14:25:32:556,Trapezoid,3063,363,1920,1080
594,252,14:25:32:707,Trapezoid,141,85,1920,1080
711,336,14:25:32:856,Trapezoid,523,726,1920,1080
723,345,14:25:33:111,Trapezoid,0,0,1920,1080
750,325,14:25:33:272,Trapezoid,398,-291,1920,1080
752,324,14:25:33:440,Trapezoid,-9,0,1920,1080
END_OF_STROKE,0,0,14:25:33:487,END_OF_STROKE,0,0,0
185,209,14:25:34:224,Trapezoid,-917,-224,1920,1080
578,343,14:25:34:389,Trapezoid,4711,1965,1920,1080
845,450,14:25:34:540,Trapezoid,566,153,1920,1080
831,443,14:25:34:705,Trapezoid,-598,-161,1920,1080
760,419,14:25:34:873,Trapezoid,-299,-145,1920,1080
END_OF_STROKE,0,0,14:25:34:948,END_OF_STROKE,0,0,0
244,289,14:25:36:087,Equilateral Triangle,-480,-146,1920,1080
668,427,14:25:36:252,Equilateral Triangle,4184,1907,1920,1080
