x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
214,111,14:25:28:654,Square,0,0,1440,900
214,169,14:25:28:820,Square,0,2840,1440,900
799,477,14:25:28:984,Square,11301,-4177,1440,900
788,148,14:25:29:134,Square,-7392,-1336,1440,900
402,419,14:25:29:284,Square,924,1754,1440,900
792,288,14:25:29:434,Square,355,-2506,1440,900
273,383,14:25:29:584,Square,-3341,2589,1440,900
840,219,14:25:29:735,Square,1813,-2209,1440,900
END_OF_STROKE,0,0,14:25:29:835,END_OF_STROKE,0,0,0
155,405,14:25:32:682,Hexagon,-154,113,1440,900
269,293,14:25:32:832,Hexagon,1410,-1026,1440,900
178,598,14:25:32:982,Hexagon,-2061,4928,1440,900
286,388,14:25:33:132,Hexagon,1888,-3373,1440,900
312,415,14:25:33:297,Hexagon,151,1154,1440,900
597,171,14:25:33:448,Hexagon,1450,-1420,1440,900
659,266,14:25:33:599,Hexagon,142,251,1440,900
779,259,14:25:33:783,Hexagon,0,0,1440,900
772,315,14:25:33:933,Hexagon,0,374,1440,900
END_OF_STROKE,0,0,14:25:33:954,END_OF_STROKE,0,0,0
167,209,14:25:52:827,Trapezoid,-39,-8,1440,900
168,209,14:25:53:025,Trapezoid,6,0,1440,900
248,256,14:25:53:176,Trapezoid,336,237,1440,900
476,311,14:25:53:341,Trapezoid,853,251,1440,900
511,323,14:25:53:491,Trapezoid,378,178,1440,900
539,341,14:25:53:643,Trapezoid,363,213,1440,900
839,396,14:25:53:793,Trapezoid,423,0,1440,900
866,380,14:25:53:957,Trapezoid,0,0,1440,900
END_OF_STROKE,0,0,14:25:53:996,END_OF_STROKE,0,0,0
147,192,14:41:55:440,Trapezoid,-1,0,1440,900
177,193,14:41:55:590,Trapezoid,242,9,1440,900
737,420,14:41:55:746,Trapezoid,2628,2521,1440,900
935,523,14:41:55:946,Trapezoid,2050,888,1440,900
END_OF_STROKE,0,0,14:41:56:045,END_OF_STROKE,0,0,0
203,277,14:41:56:845,Equilateral Triangle,-1076,-433,1440,900
353,325,14:41:57:008,Equilateral Triangle,4511,1799,1440,900
589,413,14:41:57:188,Equilateral Triangle,277,148,1440,900
766,448,14:41:57:340,Equilateral Triangle,1857,421,1440,900
813,471,14:41:57:506,Equilateral Triangle,0,0,1440,900
774,486,14:41:57:672,Equilateral Triangle,-604,158,1440,900
739,479,14:41:57:824,Equilateral Triangle,0,0,1440,900
710,475,14:41:57:975,Equilateral Triangle,-1812,-710,1440,900
END_OF_STROKE,0,0,14:41:57:976,END_OF_STROKE,0,0,0
178,480,14:41:59:190,Yellow Diamond,-529,6,1440,900
231,475,14:41:59:341,Yellow Diamond,1964,-266,1440,900
602,337,14:41:59:492,Yellow Diamond,254,-299,1440,900
605,333,14:41:59:657,Yellow Diamond,0,-167,1440,900
END_OF_STROKE,0,0,14:41:59:790,END_OF_STROKE,0,0,0
132,487,14:42:00:392,Yellow Diamond,-926,416,1440,900
432,400,14:42:00:556,Yellow Diamond,13694,-5112,1440,900
600,237,14:42:00:707,Yellow Diamond,-76,-444,1440,900
582,226,14:42:00:858,Yellow Diamond,-269,-79,1440,900
END_OF_STROKE,0,0,14:42:00:980,END_OF_STROKE,0,0,0
183,483,14:42:01:691,Yellow Diamond,-620,504,1440,900
208,471,14:42:01:891,Yellow Diamond,604,-328,1440,900
496,288,14:42:02:055,Yellow Diamond,831,-976,1440,900
553,241,14:42:02:240,Yellow Diamond,123,0,1440,900
575,239,14:42:02:390,Yellow Diamond,24,-28,1440,900
END_OF_STROKE,0,0,14:42:02:402,END_OF_STROKE,0,0,0
172,480,14:42:03:341,Yellow Diamond,-518,364,1440,900
775,309,14:42:03:539,Yellow Diamond,1534,-191,1440,900
865,308,14:42:03:703,Yellow Diamond,644,0,1440,900
END_OF_STROKE,0,0,14:42:03:836,END_OF_STROKE,0,0,0
187,473,14:42:04:637,Yellow Diamond,-1083,301,1440,900
377,415,14:42:04:788,Yellow Diamond,6780,-2524,1440,900
1024,157,14:42:04:953,Yellow Diamond,0,0,1440,900
1034,157,14:42:05:103,Yellow Diamond,0,0,1440,900
1029,156,14:42:05:264,Yellow Diamond,-101,0,1440,900
