x,y,timestamp,shape
224,118,13:29:29:649,Circle
415,180,13:29:29:751,Circle
429,145,13:29:30:788,Circle
425,143,13:29:30:967,Circle
426,143,13:29:31:072,Circle
470,148,13:29:31:183,Circle
824,243,13:29:31:284,Circle
910,283,13:29:31:399,Circle
910,284,13:29:31:649,Circle
902,292,13:29:31:749,Circle
886,303,13:29:31:850,Circle
883,311,13:29:31:958,Circle
860,437,13:29:32:068,Circle
859,467,13:29:32:168,Circle
877,390,13:29:32:268,Circle
874,338,13:29:32:369,Circle
751,325,13:29:32:484,Circle
753,328,13:29:37:479,Circle
675,328,13:29:37:592,Circle
579,324,13:29:37:707,Circle
567,316,13:29:37:810,Circle
510,291,13:29:37:910,Circle
414,228,13:29:38:025,Circle
346,178,13:29:38:143,Circle
268,165,13:29:38:242,Circle
259,164,13:29:38:353,Circle
264,164,13:29:38:457,Circle
412,174,13:29:38:558,Circle
749,284,13:29:38:658,Circle
821,381,13:29:38:774,Circle
743,587,13:29:38:874,Circle
732,607,13:29:38:974,Circle
722,576,13:29:39:847,Circle
459,355,13:29:39:958,Circle
325,206,13:29:40:071,Circle
313,192,13:29:40:171,Circle
293,165,13:29:40:272,Circle
274,142,13:29:40:387,Circle
271,141,13:29:40:488,Circle
264,138,13:29:40:589,Circle
254,131,13:29:40:703,Circle
252,129,13:29:40:986,Circle
258,133,13:29:41:087,Circle
490,251,13:29:41:205,Circle
661,413,13:29:41:304,Circle
762,590,13:29:41:420,Circle
839,616,13:29:41:521,Circle
845,608,13:29:42:258,Circle
570,411,13:29:42:368,Circle
431,218,13:29:42:471,Circle
375,150,13:29:42:587,Circle
281,87,13:29:42:703,Circle
264,82,13:29:42:814,Circle
286,122,13:29:42:918,Circle
333,175,13:29:43:035,Circle
336,177,13:29:43:135,Circle
371,200,13:29:43:235,Circle
476,268,13:29:43:335,Circle
615,319,13:29:43:435,Circle
703,318,13:29:43:535,Circle
743,327,13:29:43:635,Circle
737,329,13:29:44:372,Circle
737,329,13:29:44:482,Circle
660,302,13:29:44:583,Circle
579,240,13:29:44:683,Circle
637,194,13:29:44:784,Circle
902,161,13:29:44:899,Circle
935,235,13:29:45:000,Circle
935,308,13:29:45:116,Circle
931,392,13:29:45:217,Circle
863,488,13:29:45:331,Circle
669,504,13:29:45:432,Circle
504,184,13:29:45:548,Circle
580,100,13:29:45:648,Circle
689,95,13:29:45:750,Circle
691,98,13:29:45:864,Circle
692,98,13:29:45:988,Circle
793,159,13:29:46:100,Circle
849,241,13:29:46:215,Circle
680,388,13:29:46:333,Circle
545,452,13:29:46:448,Circle
534,446,13:29:46:547,Circle
523,438,13:29:46:648,Circle
522,438,13:29:46:960,Circle
481,414,13:29:47:065,Circle
410,352,13:29:47:165,Circle
409,350,13:29:47:267,Circle
405,337,13:29:47:380,Circle
286,196,13:29:47:482,Circle
235,133,13:29:47:596,Circle
236,127,13:29:47:705,Circle
243,113,13:29:47:806,Circle
243,114,13:29:47:907,Circle
240,114,13:29:48:265,Circle
239,115,13:29:48:858,Circle
227,115,13:29:48:963,Circle
225,115,13:29:49:078,Circle
225,115,13:29:49:281,Circle
229,117,13:29:49:394,Circle
233,122,13:29:49:496,Circle
234,125,13:29:49:597,Circle
234,126,13:29:49:853,Circle
234,124,13:29:49:961,Circle
231,118,13:29:50:079,Circle
230,116,13:29:50:193,Circle
229,116,13:29:50:317,Circle
229,117,13:29:50:507,Circle
229,118,13:29:50:612,Circle
229,118,13:29:50:728,Circle
