x,y,timestamp,shape
220,307,13:33:27:771,Equilateral Triangle
334,304,13:33:27:887,Equilateral Triangle
580,363,13:33:27:988,Equilateral Triangle
633,400,13:33:28:104,Equilateral Triangle
663,463,13:33:28:204,Equilateral Triangle
724,567,13:33:28:320,Equilateral Triangle
715,537,13:33:28:425,Equilateral Triangle
714,500,13:33:28:525,Equilateral Triangle
716,497,13:33:30:920,Equilateral Triangle
716,497,13:33:31:026,Equilateral Triangle
716,497,13:33:32:786,Equilateral Triangle
701,488,13:33:32:902,Equilateral Triangle
710,487,13:33:33:002,Equilateral Triangle
733,487,13:33:33:116,Equilateral Triangle
195,485,13:33:38:533,Yellow Diamond
335,421,13:33:38:648,Yellow Diamond
508,357,13:33:38:765,Yellow Diamond
553,333,13:33:38:878,Yellow Diamond
576,320,13:33:38:980,Yellow Diamond
577,319,13:33:39:145,Yellow Diamond
585,307,13:33:39:246,Yellow Diamond
156,474,13:33:40:794,Yellow Diamond
230,444,13:33:40:894,Yellow Diamond
319,392,13:33:41:012,Yellow Diamond
331,364,13:33:41:130,Yellow Diamond
345,342,13:33:41:245,Yellow Diamond
487,211,13:33:41:361,Yellow Diamond
499,204,13:33:41:478,Yellow Diamond
498,207,13:33:41:577,Yellow Diamond
489,215,13:33:41:678,Yellow Diamond
448,243,13:33:41:778,Yellow Diamond
447,241,13:33:41:894,Yellow Diamond
512,203,13:33:41:994,Yellow Diamond
549,195,13:33:42:095,Yellow Diamond
550,197,13:33:42:211,Yellow Diamond
552,201,13:33:42:329,Yellow Diamond
555,206,13:33:42:444,Yellow Diamond
558,210,13:33:42:560,Yellow Diamond
562,212,13:33:42:660,Yellow Diamond
562,212,13:33:42:774,Yellow Diamond
565,215,13:33:42:875,Yellow Diamond
565,220,13:33:42:975,Yellow Diamond
534,296,13:33:43:077,Yellow Diamond
525,329,13:33:43:178,Yellow Diamond
525,329,13:33:43:358,Yellow Diamond
533,319,13:33:43:459,Yellow Diamond
548,301,13:33:43:560,Yellow Diamond
550,297,13:33:43:660,Yellow Diamond
550,297,13:33:43:931,Yellow Diamond
550,298,13:33:44:371,Yellow Diamond
550,298,13:33:44:509,Yellow Diamond
550,298,13:33:44:627,Yellow Diamond
550,248,13:33:44:742,Yellow Diamond
550,247,13:33:44:858,Yellow Diamond
552,219,13:33:44:961,Yellow Diamond
552,214,13:33:45:301,Yellow Diamond
552,218,13:33:45:408,Yellow Diamond
552,222,13:33:45:511,Yellow Diamond
552,222,13:33:45:658,Yellow Diamond
552,248,13:33:45:758,Yellow Diamond
538,319,13:33:45:859,Yellow Diamond
533,334,13:33:46:215,Yellow Diamond
257,457,13:33:46:325,Yellow Diamond
195,504,13:33:46:425,Yellow Diamond
164,534,13:33:46:525,Yellow Diamond
115,540,13:33:46:640,Yellow Diamond
115,501,13:33:46:740,Yellow Diamond
144,475,13:33:46:841,Yellow Diamond
147,475,13:33:46:954,Yellow Diamond
147,475,13:33:47:487,Yellow Diamond
148,476,13:33:47:861,Yellow Diamond
150,476,13:33:47:975,Yellow Diamond
150,476,13:33:48:318,Yellow Diamond
154,476,13:33:48:422,Yellow Diamond
194,466,13:33:48:522,Yellow Diamond
445,421,13:33:48:623,Yellow Diamond
579,389,13:33:48:724,Yellow Diamond
718,308,13:33:48:839,Yellow Diamond
667,327,13:33:48:955,Yellow Diamond
279,434,13:33:49:056,Yellow Diamond
181,442,13:33:49:155,Yellow Diamond
176,437,13:33:49:255,Yellow Diamond
171,436,13:33:49:357,Yellow Diamond
164,449,13:33:49:473,Yellow Diamond
162,470,13:33:49:589,Yellow Diamond
162,469,13:33:49:691,Yellow Diamond
165,376,13:34:32:186,Hexagon
165,376,13:34:32:452,Hexagon
188,357,13:34:32:557,Hexagon
214,337,13:34:32:657,Hexagon
215,336,13:34:32:758,Hexagon
216,336,13:34:32:859,Hexagon
217,337,13:34:32:975,Hexagon
217,338,13:34:33:126,Hexagon
217,338,13:34:33:433,Hexagon
217,339,13:34:33:790,Hexagon
217,340,13:34:33:891,Hexagon
215,341,13:34:33:990,Hexagon
189,365,13:34:34:092,Hexagon
184,371,13:34:34:208,Hexagon
184,370,13:34:34:324,Hexagon
183,369,13:34:34:913,Hexagon
183,368,13:34:35:056,Hexagon
185,368,13:34:35:157,Hexagon
185,367,13:34:35:258,Hexagon
185,366,13:34:35:375,Hexagon
185,366,13:34:35:594,Hexagon
186,367,13:34:35:740,Hexagon
186,367,13:34:36:240,Hexagon
187,367,13:34:36:340,Hexagon
195,367,13:34:36:456,Hexagon
206,369,13:34:36:573,Hexagon
213,371,13:34:36:673,Hexagon
225,372,13:34:36:790,Hexagon
230,373,13:34:36:889,Hexagon
233,374,13:34:36:989,Hexagon
234,374,13:34:37:796,Hexagon
235,374,13:34:37:923,Hexagon
237,374,13:34:38:038,Hexagon
238,374,13:34:38:171,Hexagon
354,311,13:34:38:287,Hexagon
698,209,13:34:38:388,Hexagon
746,211,13:34:38:503,Hexagon
746,212,13:34:38:604,Hexagon
741,219,13:34:38:705,Hexagon
725,235,13:34:38:804,Hexagon
715,240,13:34:38:905,Hexagon
707,244,13:34:39:021,Hexagon
