x,y,timestamp,shape
226,120,13:30:32:053,Circle
714,302,13:30:32:160,Circle
866,399,13:30:32:260,Circle
604,192,13:30:32:377,Circle
539,314,13:30:32:477,Circle
859,339,13:30:32:578,Circle
712,242,13:30:32:693,Circle
648,368,13:30:32:794,Circle
809,329,13:30:32:909,Circle
764,297,13:30:33:010,Circle
810,304,13:30:33:110,Circle
792,285,13:30:33:211,Circle
704,303,13:30:33:311,Circle
755,336,13:30:33:425,Circle
787,299,13:30:33:525,Circle
722,273,13:30:33:627,Circle
748,350,13:30:33:741,Circle
844,319,13:30:33:844,Circle
688,239,13:30:33:958,Circle
602,357,13:30:34:058,Circle
716,368,13:30:34:158,Circle
745,356,13:30:34:294,Circle
693,329,13:30:34:410,Circle
526,256,13:30:34:527,Circle
444,192,13:30:34:643,Circle
382,138,13:30:34:743,Circle
328,107,13:30:34:843,Circle
285,96,13:30:34:943,Circle
247,85,13:30:35:043,Circle
246,88,13:30:35:160,Circle
232,109,13:30:35:276,Circle
226,118,13:30:35:376,Circle
226,121,13:30:35:491,Circle
215,135,13:30:36:051,Circle
215,135,13:30:36:194,Circle
234,124,13:30:36:309,Circle
234,125,13:30:36:415,Circle
234,127,13:30:36:940,Circle
227,127,13:30:37:040,Circle
223,127,13:30:37:230,Circle
224,126,13:30:37:870,Circle
253,145,13:30:37:972,Circle
262,150,13:30:38:073,Circle
262,151,13:30:38:226,Circle
501,269,13:30:38:340,Circle
808,431,13:30:38:441,Circle
800,431,13:30:38:556,Circle
441,278,13:30:38:656,Circle
377,221,13:30:38:772,Circle
373,206,13:30:38:872,Circle
339,178,13:30:38:974,Circle
298,162,13:30:39:075,Circle
279,154,13:30:39:188,Circle
271,152,13:30:39:290,Circle
245,141,13:30:39:391,Circle
235,135,13:30:39:522,Circle
239,135,13:30:40:331,Circle
225,121,13:30:40:437,Circle
229,114,13:30:46:170,Circle
229,114,13:30:46:365,Circle
259,115,13:30:46:466,Circle
317,129,13:30:46:567,Circle
337,136,13:30:46:667,Circle
354,140,13:30:46:767,Circle
359,142,13:30:46:884,Circle
358,142,13:30:46:989,Circle
304,138,13:30:47:101,Circle
269,131,13:30:47:201,Circle
267,129,13:30:47:301,Circle
296,129,13:30:47:415,Circle
328,137,13:30:47:515,Circle
333,139,13:30:47:658,Circle
275,132,13:30:47:766,Circle
269,131,13:30:47:866,Circle
313,129,13:30:47:981,Circle
342,129,13:30:48:082,Circle
332,129,13:30:48:200,Circle
269,128,13:30:48:315,Circle
275,127,13:30:48:420,Circle
330,130,13:30:48:519,Circle
334,131,13:30:48:688,Circle
304,130,13:30:48:798,Circle
281,127,13:30:48:901,Circle
291,125,13:30:49:014,Circle
341,131,13:30:49:116,Circle
337,132,13:30:49:234,Circle
329,131,13:30:49:348,Circle
330,131,13:30:49:464,Circle
431,136,13:30:49:565,Circle
472,141,13:30:49:666,Circle
472,141,13:30:49:835,Circle
411,135,13:30:49:949,Circle
412,133,13:30:50:063,Circle
456,132,13:30:50:165,Circle
434,132,13:30:50:273,Circle
423,131,13:30:50:373,Circle
464,130,13:30:50:473,Circle
467,129,13:30:50:582,Circle
448,129,13:30:50:682,Circle
445,129,13:30:50:808,Circle
445,127,13:30:50:913,Circle
444,127,13:30:51:281,Circle
444,128,13:30:51:381,Circle
444,129,13:30:51:522,Circle
445,129,13:30:51:626,Circle
445,130,13:30:51:763,Circle
445,130,13:30:51:867,Circle
446,130,13:30:51:996,Circle
446,131,13:30:52:097,Circle
446,131,13:30:52:548,Circle
446,132,13:30:52:654,Circle
446,132,13:30:52:822,Circle
445,130,13:30:52:929,Circle
420,130,13:30:53:030,Circle
325,119,13:30:53:144,Circle
312,116,13:30:53:246,Circle
276,116,13:30:53:363,Circle
237,118,13:30:53:478,Circle
231,119,13:30:53:594,Circle
228,119,13:30:53:695,Circle
